epoch,train_mse,val_mse:,runtime
0,,,0.08841693003972372
0,,,0.0806193470954895
0,,,0.08956520954767863
1,,,0.17020076115926105
2,,,0.2513215104738871
0,,,0.09299569924672445
1,,,0.1725766181945801
2,,,0.2518106420834859
0,,,0.08219725290934245
1,,,0.16335072120030722
2,,,0.24507274627685546
0,2.3985835826987045e+24,,0.07798291047414144
1,2.3880298833607215e+24,,0.1561533530553182
2,2.4366814414728735e+24,,0.23404694795608522
0,2.3985835826987045e+24,7.847416358083686e+27,0.07831077575683594
1,2.3880298833607215e+24,7.847439673068425e+27,0.15642719666163127
2,2.4366814414728735e+24,7.847444212409289e+27,0.23428164720535277
0,2.3985835826987045e+24,7.847416358083686e+27,0.07851850986480713
1,2.3880298833607215e+24,7.847439673068425e+27,0.15753914117813111
2,2.4366814414728735e+24,7.847444212409289e+27,0.23639742136001587
0,2.3027093685641725e+24,7.581276226864982e+27,0.018799030780792238
1,2.4927800078136573e+24,7.571584061772701e+27,0.03061388333638509
2,2.2667645906998568e+24,7.560377805598647e+27,0.0388870120048523
0,2.3985835826987045e+24,7.847416358083686e+27,0.07922381560007731
1,2.3880298833607215e+24,7.847439673068425e+27,0.15809731086095175
2,2.4366814414728735e+24,7.847444212409289e+27,0.2384251316388448
0,2.3985835826987045e+24,7.847416358083686e+27,0.07880066633224488
1,2.3880298833607215e+24,7.847439673068425e+27,0.1576558748881022
2,2.4366814414728735e+24,7.847444212409289e+27,0.23576025565465292
0,2.3985835826987045e+24,7.847416358083686e+27,0.08174868822097778
1,2.3880298833607215e+24,7.847439673068425e+27,0.1637720266977946
2,2.4366814414728735e+24,7.847444212409289e+27,0.24800421794255575
0,2.4756037832380245e+24,7.847417943418098e+27,0.07894073724746704
1,2.389387448432396e+24,7.847387631824158e+27,0.15785399675369263
2,2.3933184784175412e+24,7.847472262259469e+27,0.2371994694073995
0,2.3985835826987045e+24,7.847416358083686e+27,0.07903992732365926
1,2.3880298833607215e+24,7.847439673068425e+27,0.16041687726974488
2,2.4366814414728735e+24,7.847444212409289e+27,0.24300991296768187
3,2.4056933613872388e+24,7.847445676201395e+27,0.32542879978815714
4,2.3554963119981613e+24,7.847413932522038e+27,0.4075636704762777
5,2.4447314276484147e+24,7.847431709405233e+27,0.48897454341252644
6,2.5857576507830527e+24,7.847420141748481e+27,0.5717663129170736
7,2.46745666342572e+24,7.847372639845078e+27,0.6537871360778809
8,2.6372929538086026e+24,7.847458274325515e+27,0.735530424118042
9,2.4113034774286557e+24,7.847444423787211e+27,0.8186549107233684
10,2.2980361453604368e+24,7.847430361870984e+27,0.9009102861086528
11,2.4181810865492e+24,7.847432919543834e+27,0.9842561682065328
12,2.3432672735987964e+24,7.84750832861732e+27,1.0663742144902548
13,2.371452457391544e+24,7.847436158910481e+27,1.149200987815857
14,2.3673448863010058e+24,7.847391552884602e+27,1.231359883149465
15,2.4081358255947484e+24,7.847248825227574e+27,1.3132202585538229
16,2.384121191229728e+24,7.847385074151309e+27,1.3946794867515564
17,2.3503293501600776e+24,7.847501738910618e+27,1.4774889707565309
0,2.3985835826987045e+24,7.847416358083686e+27,0.0802361528078715
1,2.3880298833607215e+24,7.847439673068425e+27,0.16075572967529297
2,2.4366814414728735e+24,7.847444212409289e+27,0.2383126457532247
3,2.4056933613872388e+24,7.847445676201395e+27,0.3161826769510905
4,2.3554963119981613e+24,7.847413932522038e+27,0.39575799703598025
5,2.4447314276484147e+24,7.847431709405233e+27,0.47351821660995486
6,2.5857576507830527e+24,7.847420141748481e+27,0.5508316000302632
7,2.46745666342572e+24,7.847372639845078e+27,0.6287717382113139
8,2.6372929538086026e+24,7.847458274325515e+27,0.7094090223312378
9,2.4113034774286557e+24,7.847444423787211e+27,0.7875003536542257
0,2.3985835826987045e+24,7.847416358083686e+27,0.08345297972361247
1,2.3880298833607215e+24,7.847439673068425e+27,0.16671380996704102
2,2.4366814414728735e+24,7.847444212409289e+27,0.24938298463821412
0,2.3985835826987045e+24,7.847416358083686e+27,0.07820930480957031
1,2.3880298833607215e+24,7.847439673068425e+27,0.15655951897303264
2,2.4366814414728735e+24,7.847444212409289e+27,0.23488531510035196
3,2.4056933613872388e+24,7.847445676201395e+27,0.31402516762415567
4,2.3554963119981613e+24,7.847413932522038e+27,0.3925146540006002
5,2.4447314276484147e+24,7.847431709405233e+27,0.47133947213490807
6,2.5857576507830527e+24,7.847420141748481e+27,0.5502233306566874
7,2.46745666342572e+24,7.847372639845078e+27,0.6290977716445922
8,2.6372929538086026e+24,7.847458274325515e+27,0.707782240708669
9,2.4113034774286557e+24,7.847444423787211e+27,0.7864599307378133
10,2.2980361453604368e+24,7.847430361870984e+27,0.8641351540883382
11,2.4181810865492e+24,7.847432919543834e+27,0.9421688278516134
12,2.3432672735987964e+24,7.84750832861732e+27,1.0221084833145142
13,2.371452457391544e+24,7.847436158910481e+27,1.1007418791453043
14,2.3673448863010058e+24,7.847391552884602e+27,1.1788339455922445
15,2.4081358255947484e+24,7.847248825227574e+27,1.2567227204640707
16,2.384121191229728e+24,7.847385074151309e+27,1.3351343154907227
17,2.3503293501600776e+24,7.847501738910618e+27,1.417191755771637
0,2.3985835826987045e+24,2.45262674039676e+24,0.08112979729970296
1,2.3880298833607215e+24,2.452626733946018e+24,0.15674676100413004
2,2.4366814414728735e+24,2.452626749427799e+24,0.23177470366160074
3,2.4056933613872388e+24,2.452626733946018e+24,0.3064666032791138
4,2.355496023767785e+24,2.452626752008096e+24,0.3810863574345907
5,2.4447311394180385e+24,2.452626732655869e+24,0.4562394420305888
6,2.5857573625526765e+24,2.4526267391066116e+24,0.5311267256736756
7,2.46745666342572e+24,2.452626742977057e+24,0.6055324117342631
8,2.6372926655782264e+24,2.452626737816463e+24,0.6808110356330872
9,2.4113033333134676e+24,2.452626749427799e+24,0.7569564143816631
10,2.2980361453604368e+24,2.45262674039676e+24,0.832491648197174
11,2.4181810865492e+24,2.4526267352361663e+24,0.9081487536430359
12,2.3432672735987964e+24,2.452626733946018e+24,0.9831151843070984
13,2.371452457391544e+24,2.452626733946018e+24,1.0576976140340169
14,2.367345174531382e+24,2.4526267352361663e+24,1.1319098869959514
15,2.4081358255947484e+24,2.45262674039676e+24,1.2060720086097718
16,2.38412104711454e+24,2.452626742977057e+24,1.280418042341868
17,2.3503290619297014e+24,2.452626749427799e+24,1.3553977131843566
18,2.4895711390359603e+24,2.4526267391066116e+24,1.4306407928466798
19,2.6622222872723403e+24,2.452626745557354e+24,1.5062556505203246
20,2.3828035460651506e+24,2.452626728785424e+24,1.5813753684361775
0,2.3985835826987045e+24,2.45262674039676e+24,0.07523064613342285
1,2.3880298833607215e+24,2.452626733946018e+24,0.15162009398142498
2,2.4366814414728735e+24,2.452626749427799e+24,0.2277434190114339
3,2.4056933613872388e+24,2.452626733946018e+24,0.3034791429837545
4,2.355496023767785e+24,2.452626752008096e+24,0.3788369417190552
5,2.4447311394180385e+24,2.452626732655869e+24,0.4544540762901306
6,2.5857573625526765e+24,2.4526267391066116e+24,0.5310393571853638
7,2.46745666342572e+24,2.452626742977057e+24,0.6062584559122721
8,2.6372926655782264e+24,2.452626737816463e+24,0.6815431276957195
9,2.4113033333134676e+24,2.452626749427799e+24,0.7569757183392842
10,2.2980361453604368e+24,2.45262674039676e+24,0.8327062606811524
11,2.4181810865492e+24,2.4526267352361663e+24,0.9080342531204224
12,2.3432672735987964e+24,2.452626733946018e+24,0.9840998967488607
13,2.371452457391544e+24,2.452626733946018e+24,1.0600465178489684
14,2.367345174531382e+24,2.4526267352361663e+24,1.1361672004063925
15,2.4081358255947484e+24,2.45262674039676e+24,1.2121424237887064
16,2.38412104711454e+24,2.452626742977057e+24,1.2875191807746886
17,2.3503290619297014e+24,2.452626749427799e+24,1.363785950342814
18,2.4895711390359603e+24,2.4526267391066116e+24,1.439066970348358
19,2.6622222872723403e+24,2.452626745557354e+24,1.5143155813217164
20,2.3828035460651506e+24,2.452626728785424e+24,1.5896148006121318
0,0.0011246248614042997,0.0003340673749510926,0.07778525352478027
1,0.00031896578730084,0.0004430050102061186,0.15514485438664755
2,0.0004287988704163581,0.0006153273237655356,0.23320449590682985
3,0.000599808874540031,0.0005051624509152535,0.3100402275721232
4,0.0004777907452080399,0.00032497659637567827,0.3870261470476786
5,0.0003303607809357345,0.00022980003883272957,0.4632898171742757
6,0.00025764311430975795,0.0002367927017609941,0.5408988793691
7,0.00022698886459693313,0.00028481580832358987,0.6157549619674683
0,0.0011246248614042997,0.0003340673749510926,0.07804401715596516
0,0.0011246248614042997,0.0003340673749510926,0.08900280396143595
1,0.00031896578730084,0.0004430050102061186,0.16808876196543376
2,0.0004287988704163581,0.0006153273237655356,0.2468807617823283
3,0.000599808874540031,0.0005051624509152535,0.32588124672571817
4,0.0004777907452080399,0.00032497659637567827,0.40505462487538657
5,0.0003303607809357345,0.00022980003883272957,0.4850529114405314
6,0.00025764311430975795,0.0002367927017609941,0.5651014089584351
7,0.00022698886459693313,0.00028481580832358987,0.6454340219497681
